GEOID,adult_population,baseline_ndvi,feasible_increment,median_income,acs_population,households,low_income_households,high_income_households,occupied_households,renter_households,race_total,nonhisp_white,svi,ice_income,renter_share,minority_share,cases,rate,health_efficiency,z_health_efficiency,z_svi,z_baseline_ndvi,z_renter_share,health_score,equity_score,balanced_score,safeguard_flag,local_moran_i,lisa_p,priority_cluster,priority_decile
06075020300,3275.7796516418457,0.20592067740667777,0.30000000000000004,179313.0,3372.0,2189.0,183.0,1297.0,2189.0,1387.0,3372.0,2082.0,0.2189,0.5089081772498858,0.6336226587482869,0.3825622775800712,22.430662155151367,0.006847427037379925,74.76887385050455,0.562317787710867,0.1711785992396134,0.39292372052217156,0.551485331466486,0.562317787710867,0.4321328455109725,0.49722531661091973,0,0.2196039304020726,0.332,not significant,8.0
06075026004,3800.0891914367676,0.19596366978861313,0.15000000000000002,133542.0,3924.0,1121.0,75.0,520.0,1121.0,374.0,3924.0,703.0,0.4245,0.39696699375557537,0.33363068688670827,0.8208460754332314,19.01953125,0.005005022327596723,126.79687499999999,0.9561848148529496,0.4066236086299299,0.35787121095529717,0.1666340721378957,0.9561848148529496,0.7167299888036557,0.8364574018283026,0,1.10733361439013,0.152,not significant,10.0
06075061506,5602.20085144043,0.1793909842851541,0.15000000000000002,250001.0,4918.0,2762.0,20.0,2281.0,2762.0,1708.0,4918.0,1874.0,0.0478,0.8186097031136857,0.6183924692251991,0.6189507930052867,28.727996826171875,0.005127984088393649,191.51997884114581,1.0,0.0,0.2995289620144742,0.5319469498844682,1.0,0.6050706556978289,0.8025353278489145,0,1.448004344053338,0.012,high-high priority,10.0
06075010101,2208.395805105567,0.17292330885380372,1.1293111801147462,101974.0,2004.0,1212.0,270.0,377.0,1212.0,1099.0,2004.0,770.0,0.8308,0.08828382838283828,0.9067656765676567,0.6157684630738522,12.631551742553711,0.005719786151264623,11.185182582953136,0.08097084181703383,0.8719023407081672,0.2767602483979918,0.9018928231479632,0.08097084181703383,0.45413720289667664,0.2675540223568552,1,-0.09527988359044759,0.692,not significant,9.0
06075042700,4988.509466171265,0.21701771556967642,0.45000000000000007,119276.0,5365.0,2594.0,381.0,1028.0,2594.0,1909.0,5365.0,1856.0,0.7304,0.24942174248265228,0.735929067077872,0.654054054054054,29.086544036865234,0.005830708397791109,64.63676452636717,0.4856147875954135,0.7569282213366314,0.4319895775841637,0.6827313439470901,0.4856147875954135,0.5929338346279032,0.5392743111116584,0,0.12270727761725281,0.854,not significant,9.0
06075023103,4876.135996451427,0.21090155722598974,24.467964792251532,28393.0,4512.0,1518.0,695.0,9.0,1518.0,1473.0,4512.0,0.0,0.9425,-0.4519104084321476,0.9703557312252964,1.0,32.95767593383789,0.00675897390019938,1.3469725093063263,0.006492744090918576,0.9998167743117584,0.4104583397787771,0.9834707149292093,0.006492744090918576,0.4416134920877582,0.2240531180893384,1,0.07378225071050705,0.77,not significant,8.0
06075026001,4653.8662185668945,0.20780980030673715,0.38445193767547614,119088.0,6010.0,1785.0,122.0,803.0,1785.0,841.0,6010.0,805.0,0.7169,0.3815126050420168,0.4711484593837535,0.8660565723793677,24.112293243408203,0.005181131581997497,62.718615463870776,0.47109384402331633,0.7414685538912554,0.3995741622078036,0.3430517529082678,0.47109384402331633,0.585124791542427,0.5281093177828717,0,1.477888957448273,0.008,high-high priority,9.0
06075010600,3539.4472122192383,0.13676094122302646,0.6000000000000001,86111.0,3293.0,1836.0,483.0,471.0,1836.0,1641.0,3293.0,893.0,0.8493,-0.006535947712418301,0.8937908496732027,0.7288187063467962,20.175777435302734,0.00570026227984129,33.626295725504555,0.2508565634271857,0.8930878109110897,0.1494547580377233,0.8852477828193335,0.2508565634271857,0.5655908018268156,0.4082236826270007,1,0.33003067224377397,0.508,not significant,9.0
06075011700,1895.312596321106,0.08970777271088304,1.4919350147247314,51964.0,1947.0,1111.0,285.0,266.0,1111.0,983.0,1947.0,825.0,0.9222,-0.017101710171017102,0.8847884788478848,0.576271186440678,12.537007331848145,0.006614743845518194,8.403185935120154,0.05991032200093011,0.9765700151161193,0.0,0.873698894602201,0.05991032200093011,0.5217546662911068,0.29083249414601847,1,0.8052195379746957,0.06,not significant,9.0
06075016000,3297.984832763672,0.16115048736333848,0.15000000000000002,141304.0,2725.0,1724.0,339.0,523.0,1724.0,1290.0,2725.0,934.0,0.7357,0.10672853828306264,0.7482598607888631,0.6572477064220184,17.26742172241211,0.005235749282673995,115.1161448160807,0.8677583066123251,0.7629975722596307,0.23531537321531643,0.698550172226887,0.8677583066123251,0.8156309976147358,0.8416946521135305,0,2.3963713881572537,0.012,high-high priority,10.0
06075017700,3039.6544244252145,0.10925716270539153,0.7006489157676699,178125.0,2360.0,1174.0,88.0,649.0,1174.0,887.0,2360.0,1005.0,0.5527,0.4778534923339012,0.7555366269165247,0.5741525423728814,20.002090454101562,0.006580383050577821,28.547950341414804,0.21241201904646154,0.553433191333425,0.05263084300269783,0.7078853307336033,0.21241201904646154,0.4420130000395248,0.3272125095429932,0,0.5346658482350816,0.018,high-high priority,8.0
