GEOID,expected_in_aoi,file_present,path,readable,crs,pixel_size_x,pixel_size_y,width,height,sampled_valid_fraction,unmasked_nonfinite_count,sampled_min,sampled_max,qa_status,qa_note
01089,1,1,01089_ndvi.tif,1,EPSG:5070,90.0,90.0,538,654,0.7430823187021816,0,-0.4399743676185608,0.9911677241325378,pass,
01097,1,1,01097_ndvi.tif,1,EPSG:5070,90.0,90.0,555,1193,0.6156800555794688,0,-0.47961288690567017,0.9855804443359375,pass,
01101,1,1,01101_ndvi.tif,1,EPSG:5070,90.0,90.0,609,666,0.6346075139178587,0,-0.4907357096672058,0.9939236044883728,pass,
01103,1,1,01103_ndvi.tif,1,EPSG:5070,90.0,90.0,576,463,0.7224434545236381,0,-0.28498169779777527,0.9812865853309631,pass,
01107,1,1,01107_ndvi.tif,1,EPSG:5070,90.0,90.0,500,703,0.8130071123755335,0,-0.32621315121650696,0.9798210859298706,pass,
01113,1,1,01113_ndvi.tif,1,EPSG:5070,90.0,90.0,586,574,0.6193558169126304,0,-0.17034418880939484,0.9835362434387207,pass,
01115,1,1,01115_ndvi.tif,1,EPSG:5070,90.0,90.0,548,758,0.5068153804672303,0,-0.22480399906635284,0.9850552082061768,pass,
01117,1,1,01117_ndvi.tif,1,EPSG:5070,90.0,90.0,690,660,0.5717742643829601,0,-0.5707950592041016,0.9827935695648193,pass,
01125,1,1,01125_ndvi.tif,1,EPSG:5070,90.0,90.0,824,768,0.6856227245145631,0,-0.3995102345943451,0.9744212627410889,pass,
01129,1,1,01129_ndvi.tif,1,EPSG:5070,90.0,90.0,638,751,0.7301654220704682,0,-0.31922003626823425,0.9690051674842834,pass,
04003,1,1,04003_ndvi.tif,1,EPSG:5070,90.0,90.0,1659,1554,0.7724889704998205,0,-0.1054212749004364,0.9124094843864441,pass,
04005,1,1,04005_ndvi.tif,1,EPSG:5070,90.0,90.0,2829,3656,0.5777043097707164,0,-0.540351152420044,0.9378374814987183,pass,
04013,1,1,04013_ndvi.tif,1,EPSG:5070,90.0,90.0,2536,2028,0.5745678404544577,0,-0.7229570150375366,0.9112090468406677,pass,
04015,1,1,04015_ndvi.tif,1,EPSG:5070,90.0,90.0,2535,3480,0.48869471082998933,0,-0.8950570225715637,0.8977949619293213,pass,
04019,1,1,04019_ndvi.tif,1,EPSG:5070,90.0,90.0,3058,1669,0.5766759760664697,0,-0.9993533492088318,0.9183430671691895,pass,
04021,1,1,04021_ndvi.tif,1,EPSG:5070,90.0,90.0,1929,1350,0.6613728087859763,0,-0.3967186510562897,0.9151781797409058,pass,
04025,1,1,04025_ndvi.tif,1,EPSG:5070,90.0,90.0,1951,2203,0.6057575371918401,0,-0.3197670578956604,0.9066364169120789,pass,
04027,1,1,04027_ndvi.tif,1,EPSG:5070,90.0,90.0,1709,1917,0.5399409001960531,0,-0.5466359853744507,0.9107376933097839,pass,
05007,1,1,05007_ndvi.tif,1,EPSG:5070,90.0,90.0,798,508,0.7009946125155408,0,-0.2507639229297638,0.9648712873458862,pass,
05025,1,1,05025_ndvi.tif,1,EPSG:5070,90.0,90.0,533,460,0.7852720450281426,0,0.08141954988241196,0.9800914525985718,pass,
05031,1,1,05031_ndvi.tif,1,EPSG:5070,90.0,90.0,755,400,0.7582185430463576,0,-0.24278923869132996,0.9457491636276245,pass,
05033,1,1,05033_ndvi.tif,1,EPSG:5070,90.0,90.0,599,528,0.6164472352911418,0,-0.13459795713424683,0.9522371292114258,pass,
05035,1,1,05035_ndvi.tif,1,EPSG:5070,90.0,90.0,461,774,0.5818353539939576,0,-0.3659949004650116,0.9433427453041077,pass,
05045,1,1,05045_ndvi.tif,1,EPSG:5070,90.0,90.0,481,659,0.6740762006315876,0,-0.028847739100456238,0.9657343029975891,pass,
05047,1,1,05047_ndvi.tif,1,EPSG:5070,90.0,90.0,375,719,0.739964765878535,0,-0.08043135702610016,0.9701908826828003,pass,
05051,1,1,05051_ndvi.tif,1,EPSG:5070,90.0,90.0,623,479,0.7905749337336679,0,-0.06633904576301575,0.9657319784164429,pass,
05053,1,1,05053_ndvi.tif,1,EPSG:5070,90.0,90.0,472,544,0.7925208748753739,0,0.009948955848813057,0.9860772490501404,pass,
05069,1,1,05069_ndvi.tif,1,EPSG:5070,90.0,90.0,822,545,0.6576441438424965,0,-0.11061369627714157,0.9734346866607666,pass,
05079,1,1,05079_ndvi.tif,1,EPSG:5070,90.0,90.0,564,489,0.6647739633642258,0,-0.03495185077190399,0.9799720644950867,pass,
05081,1,1,05081_ndvi.tif,1,EPSG:5070,90.0,90.0,678,502,0.5354217348893512,0,-0.4746363162994385,0.9816893339157104,pass,
05085,1,1,05085_ndvi.tif,1,EPSG:5070,90.0,90.0,519,731,0.6807893744942526,0,-0.2386624664068222,0.9501370787620544,pass,
05087,1,1,05087_ndvi.tif,1,EPSG:5070,90.0,90.0,505,684,0.7782844073881072,0,0.1491900533437729,0.9721454977989197,pass,
05091,1,1,05091_ndvi.tif,1,EPSG:5070,90.0,90.0,396,744,0.698900972086456,0,-0.31333211064338684,0.9562847018241882,pass,
05105,1,1,05105_ndvi.tif,1,EPSG:5070,90.0,90.0,765,450,0.5250689905591867,0,-0.06650114804506302,0.9814764261245728,pass,
05111,1,1,05111_ndvi.tif,1,EPSG:5070,90.0,90.0,767,362,0.8837077801868513,0,-0.36598753929138184,0.960757315158844,pass,
05119,1,1,05119_ndvi.tif,1,EPSG:5070,90.0,90.0,751,652,0.5305339302198296,0,-0.792683482170105,0.9723579287528992,pass,
05125,1,1,05125_ndvi.tif,1,EPSG:5070,90.0,90.0,853,547,0.5036830971879012,0,-0.16010014712810516,0.9590278267860413,pass,
05131,1,1,05131_ndvi.tif,1,EPSG:5070,90.0,90.0,415,653,0.6474916511374749,0,-0.2502254545688629,0.936720609664917,pass,
05143,1,1,05143_ndvi.tif,1,EPSG:5070,90.0,90.0,655,610,0.7654060818420724,0,-0.08615485578775406,0.9609436392784119,pass,
06001,1,1,06001_ndvi.tif,1,EPSG:5070,90.0,90.0,738,720,0.4546823246010238,0,-0.8991946578025818,0.89070725440979,pass,
06007,1,1,06007_ndvi.tif,1,EPSG:5070,90.0,90.0,860,991,0.6323727500997348,0,-0.2051437497138977,0.9406844973564148,pass,
06013,1,1,06013_ndvi.tif,1,EPSG:5070,90.0,90.0,837,492,0.5945449777078416,0,-0.9817563891410828,0.9260308742523193,pass,
06017,1,1,06017_ndvi.tif,1,EPSG:5070,90.0,90.0,1227,670,0.6975671763432227,0,-0.9106804132461548,0.9942911267280579,pass,
06019,1,1,06019_ndvi.tif,1,EPSG:5070,90.0,90.0,2481,1712,0.450352350762995,0,-0.9894179701805115,0.9852116703987122,pass,
06025,1,1,06025_ndvi.tif,1,EPSG:5070,90.0,90.0,1748,1155,0.7113029609597116,0,-0.9725646376609802,0.9000892639160156,pass,
06029,1,1,06029_ndvi.tif,1,EPSG:5070,90.0,90.0,2532,1782,0.579620143864483,0,-0.5647189617156982,0.9227176308631897,pass,
06031,1,1,06031_ndvi.tif,1,EPSG:5070,90.0,90.0,960,853,0.545906604142243,0,-0.658195436000824,0.9133322834968567,pass,
06037,1,1,06037_ndvi.tif,1,EPSG:5070,90.0,90.0,1484,2545,0.34754526342545766,0,-0.6638110876083374,0.9766747951507568,pass,
06039,1,1,06039_ndvi.tif,1,EPSG:5070,90.0,90.0,1617,1001,0.42509562175610416,0,-0.46714478731155396,0.9907955527305603,pass,
06041,1,1,06041_ndvi.tif,1,EPSG:5070,90.0,90.0,537,719,0.45412493557418615,0,-0.45945221185684204,0.9427170753479004,pass,
06047,1,1,06047_ndvi.tif,1,EPSG:5070,90.0,90.0,1202,942,0.5608725372786333,0,-0.3327520787715912,0.9330148100852966,pass,
06053,1,1,06053_ndvi.tif,1,EPSG:5070,90.0,90.0,1454,1741,0.42005337728242004,0,-0.8426476716995239,0.9842268824577332,pass,
06055,1,1,06055_ndvi.tif,1,EPSG:5070,90.0,90.0,476,903,0.5936700261499949,0,-0.46802079677581787,0.8996291756629944,pass,
06059,1,1,06059_ndvi.tif,1,EPSG:5070,90.0,90.0,677,764,0.49634010533072453,0,-0.34545987844467163,0.8922469019889832,pass,
06061,1,1,06061_ndvi.tif,1,EPSG:5070,90.0,90.0,1549,606,0.5145798311270765,0,-0.9964007139205933,0.9709794521331787,pass,
06065,1,1,06065_ndvi.tif,1,EPSG:5070,90.0,90.0,3287,1357,0.5246193272934467,0,-0.5409296751022339,0.911411702632904,pass,
06067,1,1,06067_ndvi.tif,1,EPSG:5070,90.0,90.0,922,818,0.42439631077332685,0,-0.3117001950740814,0.9462242126464844,pass,
06069,1,1,06069_ndvi.tif,1,EPSG:5070,90.0,90.0,868,1144,0.45023927685218007,0,-0.1960427314043045,0.9205690026283264,pass,
06071,1,1,06071_ndvi.tif,1,EPSG:5070,90.0,90.0,3732,2763,0.6240977563337923,0,-0.7496246099472046,0.9130035638809204,pass,
06073,1,1,06073_ndvi.tif,1,EPSG:5070,90.0,90.0,1525,1388,0.6444909528983795,0,-0.832919180393219,0.914908230304718,pass,
06075,1,1,06075_ndvi.tif,1,EPSG:5070,90.0,90.0,668,197,0.1175491656281346,0,-0.5808461904525757,0.8771697878837585,pass,
