GEOID,adult_target,allocated_adults,ndvi_covered_adults,ndvi_population_coverage,tract_count
12039,33951.0,33950.99999999999,33950.99999999999,0.9999999999999998,9
12041,14643.0,14643.00000000002,14643.00000000002,1.0000000000000013,5
12053,164146.0,164146.00000000006,164145.94722826895,0.999999678507359,44
12055,86331.0,86331.00000000001,86331.00000000001,1.0000000000000002,24
12057,1164610.0,1164610.0,1164597.3261579801,0.9999891175225871,313
12061,138881.0,138881.00000000003,138634.84307159128,0.9982275694414016,29
12065,12184.0,12183.999999999964,12183.999999999964,0.999999999999997,3
12069,322624.0,322623.9999999999,322623.99962319835,0.9999999988320719,56
12071,656231.0,656231.0000000001,656220.1841950596,0.9999835182962395,165
12073,240404.0,240404.00000000003,240404.00000000003,1.0000000000000002,68
12075,35589.0,35588.99999999992,35588.81921445091,0.9999949201846331,9
12081,342333.0,342332.9999999998,342332.9999999998,0.9999999999999994,78
12083,314765.0,314765.0000000001,314765.0000000001,1.0000000000000004,61
12085,134388.0,134388.0,133869.6005910179,0.9961425171221976,34
12086,2144601.0,2144601.0,2131353.389777978,0.9938228088945114,511
12089,76132.0,76131.99999999997,76131.99779306598,0.9999999710117425,12
12091,165844.0,165844.0000000001,165843.99731425403,0.9999999838055885,41
12095,1129805.0,1129805.0000000007,1129637.9642785743,0.9998521552644698,206
12097,309159.0,309158.99999999994,309154.27624333004,0.9999847206237892,41
12099,1222641.0,1222641.0,1221377.9758150657,0.9989669705294242,331
12101,469214.0,469214.0,469210.87112552393,0.9999933316685434,133
12103,810106.0,810106.0,810101.9684905938,0.999995023479142,244
12105,592991.0,592991.0,592986.0928469012,0.9999917247427046,153
12109,228898.0,228898.00000000012,228898.00000000012,1.0000000000000004,39
12111,277902.0,277901.99999999994,277898.9143061431,0.9999888964676149,43
12113,151168.0,151168.00000000006,151168.00000000006,1.0000000000000004,25
12115,385947.0,385947.00000000006,385946.99999442685,0.9999999999855598,94
12117,376507.0,376506.99999999994,376506.99999999994,0.9999999999999999,86
12119,127767.0,127767.00000000006,127767.00000000006,1.0000000000000004,18
12127,468769.0,468768.9999999999,468477.98495055095,0.9993791930578834,113
12129,27548.0,27547.99999999998,27547.99999999998,0.9999999999999993,4
12131,63275.0,63274.999999999956,63274.99977515792,0.999999996446589,11
13013,64886.0,64886.00000000001,64886.00000000001,1.0000000000000002,18
13015,84934.0,84934.00000000004,84934.00000000004,1.0000000000000004,15
13021,118256.0,118256.00000000004,118252.16258783502,0.999967549958015,44
13025,14106.0,14106.000000000047,14105.958304421249,0.9999970441245746,3
13027,12833.0,12832.999999999976,12832.999999999976,0.9999999999999981,5
13029,33025.0,33024.999999999935,33024.999999999935,0.999999999999998,6
13033,18360.0,18359.999999999956,18359.999999999956,0.9999999999999977,6
13035,20724.0,20724.00000000003,20724.00000000003,1.0000000000000013,3
13045,93063.0,93063.00000000006,93063.00000000006,1.0000000000000007,17
13047,53057.0,53057.00000000003,53057.00000000003,1.0000000000000004,11
13051,235733.0,235733.00000000006,235725.25650913815,0.9999671514346238,69
13053,7422.0,7421.999999999995,7421.999999999995,0.9999999999999993,5
13057,210602.0,210602.00000000012,210602.00000000012,1.0000000000000004,26
13059,107331.0,107331.00000000004,107330.99855464404,0.999999986533658,30
13063,217282.0,217282.0,217282.0,1.0,49
13067,593070.0,593069.9999999999,593069.9923138162,0.9999999870400057,120
13073,119608.0,119608.00000000003,119608.00000000003,1.0000000000000002,20
13077,114938.0,114938.00000000009,114937.20286819426,0.9999930646800385,20
13079,9650.0,9650.00000000003,9650.00000000003,1.000000000000003,3
13083,13018.0,13018.000000000004,12999.971447790249,0.9986151058373213,4
13085,22951.0,22950.999999999975,22950.999999999975,0.9999999999999989,3
13089,586766.0,586766.0,586613.4723252777,0.9997400536590016,144
13095,63638.0,63638.000000000015,63638.000000000015,1.0000000000000002,27
13097,108745.0,108744.99999999999,108744.99217430312,0.9999999280362603,20
13101,2671.0,2671.0000000000027,2671.0000000000027,1.000000000000001,2
13103,49354.0,49353.999999999985,49353.999999999985,0.9999999999999997,10
13113,93181.0,93181.00000000003,93181.00000000003,1.0000000000000002,20
13115,76391.0,76390.99999999994,76390.99999999994,0.9999999999999992,20
13117,191875.0,191874.99999999997,191874.99999999997,0.9999999999999999,45
13121,842905.0,842905.0000000003,842904.5357900508,0.9999994492737031,202
13127,67078.0,67078.00000000003,67078.00000000003,1.0000000000000004,15
13135,711750.0,711750.0,711750.0,1.0,113
13139,158032.0,158032.00000000003,157966.3148474931,0.9995843553678566,36
13143,23397.0,23397.000000000022,23397.000000000022,1.0000000000000009,5
13145,27872.0,27872.000000000044,27872.000000000044,1.0000000000000016,5
13149,8911.0,8911.000000000016,8911.000000000016,1.0000000000000018,3
13151,183468.0,183467.99999999997,183467.99999999997,0.9999999999999999,25
13153,124123.0,124123.0,124123.0,1.0,23
13159,11747.0,11747.000000000027,11746.95121331756,0.9999958468815493,3
13169,22008.0,22008.00000000003,22008.00000000003,1.0000000000000013,6
13171,14964.0,14963.999999999978,14963.999999999978,0.9999999999999986,3
13173,7794.0,7793.999999999984,7793.999999999984,0.9999999999999979,2
13177,24710.0,24710.00000000004,24710.00000000004,1.0000000000000016,5
13179,48332.0,48331.999999999985,48331.999999999985,0.9999999999999997,14
13181,6297.0,6296.9999999999945,6296.9999999999945,0.9999999999999991,2
13183,12655.0,12655.00000000004,12655.00000000004,1.000000000000003,2
13185,89773.0,89772.99999999999,89772.99999999999,0.9999999999999999,25
13189,16263.0,16263.000000000015,16253.125540031837,0.9993928266637051,5
13191,9489.0,9489.000000000011,9489.000000000011,1.000000000000001,3
13195,23690.0,23690.000000000022,23690.000000000022,1.0000000000000009,6
13197,5957.0,5957.000000000002,5954.342949219193,0.999553961594627,2
13199,16274.0,16273.999999999985,16273.505973721565,0.9999696432174981,4
13207,22852.0,22852.000000000007,22852.000000000007,1.0000000000000002,5
13211,16005.0,16005.000000000018,16005.000000000018,1.000000000000001,5
13213,30663.0,30663.00000000003,30663.00000000003,1.0000000000000009,8
13215,153256.0,153255.99999999994,153255.99999999994,0.9999999999999997,53
13217,85961.0,85961.00000000004,85961.00000000004,1.0000000000000004,13
13219,31575.0,31575.000000000087,31575.000000000087,1.0000000000000027,6
13221,11935.0,11935.000000000015,11935.000000000015,1.000000000000001,4
13223,129492.0,129492.0,129492.0,1.0,19
13225,22250.0,22250.0,22250.0,1.0,6
13227,27693.0,27692.999999999985,27691.86779254734,0.9999591157529822,6
13231,14945.0,14945.000000000007,14945.000000000007,1.0000000000000004,4
13245,158585.0,158585.0,158584.9889357549,0.9999999302314525,47
13247,71713.0,71713.00000000003,71713.00000000003,1.0000000000000004,15
13255,52259.0,52259.0,52258.46585670847,0.999989778922453,12
13259,4387.0,4386.999999999987,4386.999999999987,0.9999999999999971,2
13263,4814.0,4814.000000000003,4814.000000000003,1.0000000000000007,3
13273,6905.0,6904.999999999972,6904.999999999972,0.9999999999999959,4
13289,6375.0,6375.000000000013,6375.000000000013,1.000000000000002,2
13295,53801.0,53800.99999999997,53785.3553317702,0.9997092123152024,13
13297,76105.0,76104.99999999999,76104.99999999999,0.9999999999999998,15
13313,77067.0,77066.99999999999,77066.99999999999,0.9999999999999998,18
13321,15990.0,15990.000000000018,15990.000000000018,1.000000000000001,5
16001,393981.0,393981.0,393981.0,1.0,59
16005,65948.0,65948.00000000006,65948.00000000006,1.0000000000000009,22
16015,6809.0,6809.000000000032,6808.581436075887,0.9999385278419572,1
16019,88696.0,88696.00000000003,88696.00000000003,1.0000000000000002,21
16023,1949.0,1948.999999999998,1948.999999999998,0.999999999999999,1
16027,176576.0,176576.0,176573.79058517277,0.9999874874568049,29
16041,10162.0,10161.999999999993,10161.999999999993,0.9999999999999993,2
16045,15414.0,15414.000000000018,15414.000000000018,1.000000000000001,3
16051,21642.0,21641.999999999985,21641.999999999985,0.9999999999999993,4
16053,17354.0,17353.99999999998,17353.99999999998,0.999999999999999,5
16055,137633.0,137633.0000000001,137633.0000000001,1.0000000000000007,25
16069,33384.0,33383.99999999996,33383.99999999996,0.9999999999999989,10
16073,9216.0,9215.99999999997,9215.99999999997,0.9999999999999969,3
16077,5583.0,5582.999999999997,5582.999999999997,0.9999999999999996,2
16083,67514.0,67514.00000000001,67514.00000000001,1.0000000000000002,14
17003,3950.0,3950.0000000000005,3950.0000000000005,1.0000000000000002,4
17005,13598.0,13597.999999999998,13597.999999999998,0.9999999999999999,4
17007,40430.0,40430.00000000001,40430.00000000001,1.0000000000000002,7
17013,3509.0,3509.000000000004,3509.000000000004,1.000000000000001,2
17019,166368.0,166367.99999999994,166367.99999999994,0.9999999999999997,43
17027,28933.0,28933.000000000015,28933.000000000015,1.0000000000000004,8
17031,4074847.0,4074847.0,4074797.4427075386,0.999987838244611,1314
17037,78606.0,78605.99999999997,78604.71573617688,0.9999836620127838,21
17043,719689.0,719689.0,719689.0,1.0,216
17057,26693.0,26692.99999999999,26692.99999999999,0.9999999999999996,12
17063,39848.0,39848.00000000003,39847.98416850531,0.9999996027029038,10
17073,38155.0,38155.0,38155.0,1.0,13
17077,42699.0,42699.0,42699.0,1.0,14
17083,17080.0,17079.99999999997,17079.963592343604,0.9999978684041922,6
17087,10976.0,10976.000000000015,10976.000000000015,1.0000000000000013,4
17089,390231.0,390231.0000000001,390230.24259845156,0.9999980590943609,82
17091,82264.0,82264.00000000003,82264.00000000003,1.0000000000000004,29
17093,97903.0,97902.99999999993,97902.99999999993,0.9999999999999992,10
17097,543787.0,543787.0,543787.0,1.0,152
17111,239710.0,239709.9999999999,239709.9999999999,0.9999999999999997,52
17113,134203.0,134203.00000000003,134201.23014312034,0.9999868120915355,41
17115,79357.0,79357.0,79357.0,1.0,34
17117,35322.0,35322.00000000006,35322.00000000006,1.0000000000000016,13
17119,207647.0,207647.00000000003,207647.00000000003,1.0000000000000002,61
17123,9236.0,9236.00000000002,9236.00000000002,1.0000000000000022,5
17129,9482.0,9482.000000000011,9482.000000000011,1.000000000000001,3
17131,12326.0,12326.0,12326.0,1.0,4
17133,27240.0,27239.99999999998,27239.99999999998,0.9999999999999993,6
17143,136775.0,136775.0,136775.0,1.0,48
17147,13041.0,13041.000000000031,13041.000000000031,1.0000000000000024,4
17161,110772.0,110772.00000000001,110772.00000000001,1.0000000000000002,40
17163,195450.0,195449.99999999997,195449.99999999997,0.9999999999999999,60
17167,152237.0,152237.0,152237.0,1.0,53
17175,4171.0,4171.0000000000155,4171.0000000000155,1.0000000000000038,2
17179,101456.0,101455.99999999997,101455.99999999997,0.9999999999999997,30
17183,55979.0,55979.000000000015,55979.000000000015,1.0000000000000002,24
