GEOID,adult_population,baseline_ndvi,feasible_increment,median_income,acs_population,households,low_income_households,high_income_households,occupied_households,renter_households,race_total,nonhisp_white,svi,ice_income,renter_share,minority_share,cases,rate,health_efficiency,z_health_efficiency,z_svi,z_baseline_ndvi,z_renter_share,health_score,equity_score,balanced_score,safeguard_flag,local_moran_i,lisa_p,priority_cluster,priority_decile
06075016300,3523.52685546875,0.25018946101793843,0.5781619310379029,101964.0,3794.0,1944.0,302.0,747.0,1944.0,1662.0,3794.0,2172.0,0.4281,0.22890946502057613,0.8549382716049383,0.4275171323141803,23.35166358947754,0.0066273550755641866,40.38948664011339,0.35318850713007915,0.41074618661536344,0.5487669236781433,0.8354049036751101,0.35318850713007915,0.38804038032869526,0.37061444372938723,0,0.18789477510510194,0.144,not significant,7.0
06075021200,2318.096845626831,0.320346791247394,2.645291829109191,195714.0,3052.0,1424.0,115.0,880.0,1424.0,590.0,3052.0,1727.0,0.1603,0.5372191011235955,0.4143258426966292,0.43414154652686765,14.643770217895508,0.006317152040270225,5.535786281405041,0.04521107681452827,0.10407219092116715,0.7957478022096345,0.2701556168727477,0.04521107681452827,0.08966863489822746,0.06743985585637786,0,1.5565287680549298,0.006,low-low priority,2.0
06075021500,4440.083040237427,0.2730023426596414,1.3224603891372682,176417.0,5341.0,2513.0,122.0,1568.0,2513.0,1465.0,5341.0,2606.0,0.1086,0.575407879029049,0.5829685634699562,0.5120763901891032,27.65917205810547,0.006229426748880452,20.914934228124178,0.18110569966164938,0.04486739040813523,0.6290770713316403,0.4865026179723696,0.18110569966164938,0.16189487577392597,0.1715002877177877,0,0.45829542521345673,0.122,not significant,3.0
06075022901,3039.1724128723145,0.24310118364666006,0.30000000000000004,94214.0,4197.0,1408.0,145.0,456.0,1408.0,1090.0,4197.0,1093.0,0.8091,0.22088068181818182,0.7741477272727273,0.7395758875387182,19.85120964050293,0.0065317813350844415,66.17069880167642,0.5809987938491581,0.847052356740415,0.5238134517215065,0.7317609876891176,0.5809987938491581,0.6583957040254984,0.6196972489373282,0,-0.5097747550622037,0.424,not significant,10.0
06075026002,2400.219416618347,0.24099490473061116,0.8839611291885378,119038.0,3731.0,1038.0,137.0,465.0,1038.0,253.0,3731.0,1117.0,0.6419,0.3159922928709056,0.24373795761078998,0.7006164567140176,12.236687660217285,0.005098153766899141,13.843015553693373,0.11861617004682397,0.6555815125280564,0.516398537051625,0.051313219210924486,0.11861617004682397,0.361301833850488,0.23995900194865596,0,0.25979584875439343,0.004,high-high priority,7.0
06075012901,2313.7253608703613,0.17107130080723582,0.15000000000000002,231841.0,2887.0,1454.0,38.0,1047.0,1454.0,1130.0,2887.0,1928.0,0.0955,0.6939477303988996,0.7771664374140302,0.3321787322480083,15.711848258972168,0.006790714457597419,104.74565505981444,0.9218583232720592,0.029865787183363114,0.2702404653205467,0.7356336059869315,0.9218583232720592,0.5808461173521247,0.7513522203120919,0,-0.8983086194288434,0.078,not significant,9.0
06075015802,2428.083698272705,0.2209096857623474,0.0,142700.0,3163.0,1572.0,188.0,763.0,1572.0,1234.0,3163.0,1562.0,0.3931,0.3657760814249364,0.7849872773536896,0.5061650331963325,16.065593719482422,0.006616573279953733,,,0.37066556731253725,0.4456908147073614,0.7456667414775506,,,,0,,,not ranked (missing SVI or zero feasible capacity),
06075022704,3379.2590984106064,0.2848164988292975,4.388371992111205,240000.0,3982.0,1822.0,128.0,1224.0,1822.0,891.0,3982.0,1977.0,0.0702,0.601536772777168,0.48902305159165754,0.5035158211953792,20.7330265045166,0.0061353763948636345,4.724537149947066,0.03804264361286609,0.0008932252301772741,0.6706674605375401,0.3659825642846835,0.03804264361286609,0.06873383155636408,0.053388237584615084,0,0.3938543949723042,0.446,not significant,1.0
06075061200,3163.209692955017,0.19825180023357303,0.0,117132.0,4163.0,1153.0,169.0,442.0,1153.0,627.0,4163.0,352.0,0.6991,0.2367736339982654,0.5437987857762359,0.9154455921210666,17.615991592407227,0.005569024283037861,,,0.7210846960743896,0.3659263131896975,0.4362528123542218,,,,0,,,not ranked (missing SVI or zero feasible capacity),
06075011901,1594.7216033935547,0.11929477729967662,0.0,101827.0,2084.0,1217.0,147.0,509.0,1217.0,1005.0,2084.0,846.0,0.3489,0.29745275267050125,0.8258011503697618,0.5940499040307101,10.492532730102539,0.006579538840995516,,,0.3200494709358252,0.08796712023486936,0.7980257107221015,,,,0,,,not ranked (missing SVI or zero feasible capacity),
06075017804,4541.452910423279,0.14119333037284026,0.0,138561.0,3911.0,2132.0,455.0,881.0,2132.0,1465.0,3911.0,1153.0,0.6476,0.199812382739212,0.6871482176360225,0.7051904883661468,23.5699405670166,0.0051899559528450125,,,0.6621089276716594,0.165058478456304,0.6201517648259646,,,,0,,,not ranked (missing SVI or zero feasible capacity),
06075061503,4298.754177093506,0.1283357234671712,0.0,187067.0,3612.0,1998.0,255.0,1239.0,1998.0,1556.0,3612.0,1229.0,0.4602,0.4924924924924925,0.7787787787787788,0.6597452934662237,24.523021697998047,0.005704681097763694,,,0.4475058403188127,0.11979473995615444,0.737702033354639,,,,0,,,not ranked (missing SVI or zero feasible capacity),
06075020802,2151.807098388672,0.1190183198974504,0.0,117000.0,2274.0,1114.0,171.0,406.0,1114.0,920.0,2274.0,644.0,0.6228,0.21095152603231598,0.8258527827648114,0.7167985927880387,13.292951583862305,0.006177575858828798,,,0.6337089459942283,0.08699388348462458,0.7980919484688442,,,,0,,,not ranked (missing SVI or zero feasible capacity),
06075033002,3230.4844732144848,0.3801122908003095,13.193449735641508,173615.0,3940.0,1533.0,133.0,833.0,1533.0,681.0,3940.0,1538.0,0.3351,0.45662100456621,0.44422700587084146,0.6096446700507614,17.0815486907959,0.0052876120694673855,1.2946991903604155,0.00773559815367987,0.3042462553249966,1.0,0.3085149777302276,0.00773559815367987,0.11035398844058873,0.0590447932971343,0,0.45355425204775596,0.28,not significant,2.0
06075061101,1797.2617902755737,0.13325679101014756,0.15000000000000002,17569.0,1814.0,935.0,532.0,51.0,935.0,865.0,1814.0,39.0,0.9666,-0.5144385026737968,0.9251336898395722,0.9785005512679162,7.942318916320801,0.004419121888249239,52.948792775472,0.46416618784419145,1.0,0.13711879691644652,0.9254566305231907,0.46416618784419145,0.7115152743846287,0.58784073111441,1,0.33835033863382563,0.656,not significant,10.0
