tractfips,depression_crudeprev
12021010401,16.6
12021010405,16.9
12021010408,17.1
12021010410,17.2
12021010411,17.7
12021010412,16.6
12021010413,17.1
12021010414,17.7
12021010415,16.8
12021010416,15.8
12021010417,15.9
12021010418,15.2
12021010419,17.6
12021010420,17.9
12021010505,17.3
12021010506,17.2
12021010507,16.1
12021010508,15.2
12021010509,15.6
12021010510,13.4
12021010601,18.3
12021010602,16.5
12021010604,16.0
12021010605,15.9
12021010606,15.6
12021010701,17.5
12021010702,16.9
12021010801,14.7
12021010802,16.6
12021010803,15.5
12021010902,17.1
12021010903,15.8
12021010904,14.6
12021010905,14.9
12021011001,12.8
12021011002,13.0
12021011102,17.1
12021011103,16.4
12021011105,15.8
12021011106,15.6
12021011201,15.2
12021011202,17.4
12021011204,18.5
12021011205,19.9
12021011301,19.1
12021011302,19.5
12021011400,18.6
12023110201,21.5
12023110202,22.1
12023110300,21.0
12023110400,22.1
12023110500,21.1
12023110601,20.9
12023110602,21.8
12023110700,20.0
12023110800,21.7
12023110901,22.6
12023110903,23.5
12023110904,21.7
12027010101,18.2
12027010102,17.6
12027010200,19.6
12027010301,20.0
12027010302,19.3
12027010403,17.0
12027010404,20.2
12027010405,16.7
12027010406,19.8
12029970101,21.3
12029970102,22.7
12029970200,23.1
12031000100,21.3
12031000200,19.5
12031000300,21.0
12031000600,21.8
12031000700,18.6
12031000800,18.8
12031001000,19.8
12031001100,18.1
12031001200,18.7
12031001300,19.7
12031001400,18.8
12031001500,19.6
12031001600,21.1
12031002101,19.9
12031002102,18.8
12031002200,19.2
12031002300,18.0
12031002400,18.3
12031002501,20.3
12031002502,21.1
12031002600,21.4
12031002701,19.2
12031002702,20.6
12031002801,17.1
12031002802,17.8
12031002901,18.5
12031002902,18.1
12031010101,20.2
12031010102,19.8
12031010103,19.7
12031010201,21.0
12031010202,20.5
12031010301,19.7
12031010303,18.1
12031010304,16.8
12031010401,19.8
12031010402,21.8
12031010500,19.0
12031010600,20.8
12031010700,16.9
12031010800,17.0
12031010900,16.6
12031011000,20.0
12031011100,19.0
12031011200,17.4
12031011300,18.4
12031011400,16.1
12031011500,18.7
12031011600,17.2
12031011700,22.1
12031011800,21.3
12031011901,21.6
12031011902,20.1
12031011903,19.7
12031012000,20.2
12031012100,22.0
12031012200,22.7
12031012300,22.7
12031012400,21.5
12031012500,20.4
12031012601,20.7
12031012602,19.8
12031012702,21.2
12031012703,19.4
12031012704,19.2
12031012800,19.9
12031012900,20.3
12031013000,17.4
12031013100,18.6
12031013200,20.3
12031013300,20.4
12031013402,22.4
12031013403,20.2
12031013404,19.6
12031013502,19.9
12031013503,19.7
12031013504,18.7
12031013521,20.0
12031013522,19.1
12031013721,20.0
12031013723,20.6
12031013726,20.4
12031013727,18.4
12031013800,20.7
12031013901,19.2
12031013902,20.1
12031013904,21.5
12031013905,17.2
12031013906,16.9
12031014001,19.9
12031014002,18.7
12031014101,18.9
12031014102,19.2
12031014202,19.5
12031014203,18.3
12031014204,18.0
12031014311,21.7
12031014312,19.4
12031014326,18.6
12031014328,18.0
12031014329,18.8
12031014330,18.2
12031014331,21.1
12031014332,19.7
12031014333,19.2
12031014334,18.8
12031014335,18.8
12031014336,18.6
12031014337,18.3
12031014338,19.3
12031014401,19.4
12031014404,21.4
12031014406,17.6
12031014408,19.9
12031014409,19.1
12031014410,18.0
12031014411,17.9
12031014412,17.8
12031014413,16.5
12031014500,21.1
12031014601,18.6
12031014603,19.8
12031014604,19.2
12031014701,19.7
12031014702,18.8
12031014800,21.0
12031014901,19.4
12031014902,19.2
12031015001,20.0
12031015002,19.8
12031015100,20.3
12031015200,19.9
12031015300,19.8
12031015400,20.8
12031015501,19.7
12031015502,23.1
12031015600,19.6
12031015700,20.9
12031015801,19.2
12031015802,19.9
12031015922,18.7
12031015923,20.0
12031015924,19.4
12031015925,20.6
12031015926,19.0
12031016000,20.3
12031016100,20.3
12031016200,20.2
12031016300,21.4
12031016400,18.6
12031016500,18.0
12031016601,19.5
12031016603,19.0
12031016604,19.1
12031016711,17.4
12031016722,19.7
12031016724,20.1
12031016725,19.9
12031016726,21.4
12031016727,18.2
12031016728,19.1
12031016729,20.0
12031016801,18.6
12031016803,18.8
12031016804,18.3
12031016805,18.1
12031016806,19.8
12031016807,21.0
12031016808,20.2
12031017100,18.7
12031017200,18.5
12031017300,21.6
12031017400,20.2
12033000100,18.7
12033000300,21.6
12033000400,21.3
12033000500,19.5
12033000600,18.6
12033000800,20.1
12033000900,19.5
12033001001,19.2
12033001002,21.5
12033001101,19.1
12033001103,19.6
12033001104,21.5
12033001201,21.4
12033001202,23.5
12033001300,20.0
12033001401,25.3
12033001402,21.2
12033001500,19.7
12033001600,19.5
12033001700,24.0
12033001800,20.7
12033001900,22.2
12033002000,19.5
12033002100,22.5
12033002200,22.8
12033002300,21.5
12033002400,20.2
12033002500,19.4
12033002601,20.5
12033002602,18.1
12033002603,20.2
12033002604,21.1
12033002605,21.8
12033002701,21.6
12033002703,24.2
12033002704,22.7
12033002801,22.0
12033002802,20.5
12033002803,22.8
12033002804,21.4
12033002900,23.7
12033003000,21.4
12033003100,20.6
12033003201,19.7
12033003203,18.3
12033003204,21.1
12033003301,21.8
12033003305,19.2
12033003306,21.9
12033003307,22.3
12033003308,20.8
12033003309,21.0
12033003400,22.4
12033003503,20.6
12033003505,22.8
12033003506,22.9
12033003507,21.6
12033003508,22.5
12033003603,21.4
12033003607,23.0
12033003608,21.3
12033003609,22.3
12033003610,20.8
12033003611,20.9
12033003612,20.0
12033003613,21.6
12033003614,21.8
12033003700,20.9
12033003800,21.6
12033003900,22.4
12033004000,19.8
12035060103,18.7
12035060104,20.2
12035060105,18.3
12035060106,18.6
12035060107,19.1
12035060204,21.9
12035060205,19.8
12035060206,23.9
12035060207,19.6
12035060208,23.1
12035060209,21.0
12035060210,20.1
12035060211,18.8
12035060212,20.9
12035060213,21.8
12035060214,21.5
12035060301,18.6
12035060302,19.5
12035060303,17.2
12035060304,19.2
12037970100,18.4
12037970200,22.2
12037970302,20.6
12037970304,17.9
12039020101,18.9
12039020102,19.7
12039020300,17.6
12039020400,19.4
12039020500,17.7
12039020600,17.5
12039020701,19.0
12039020702,18.9
12039020800,20.2
12041950100,21.8
12041950201,21.8
12041950202,20.0
12041950203,21.2
12041950204,21.6
12043000100,19.2
12043000200,20.7
12043000300,18.4
12045960100,19.1
12045960200,17.9
12045960300,19.2
12047960100,18.5
12047960200,21.7
12047960300,19.6
12049970101,20.7
12049970102,20.5
12049970201,20.1
12049970202,19.1
12049970300,20.3
12049970400,20.7
12051000100,18.3
12051000200,19.3
12051000300,18.8
12051000401,20.2
12051000402,19.4
12051000600,18.8
12053040101,20.4
12053040102,21.0
12053040201,21.0
12053040202,21.4
12053040301,20.5
12053040302,20.6
12053040303,20.2
12053040400,18.8
12053040501,21.4
12053040502,22.1
12053040601,21.3
12053040602,21.5
12053040701,21.6
12053040702,20.5
12053040801,18.7
12053040802,17.6
12053040901,19.9
12053040905,17.9
12053040906,20.3
12053040907,19.1
12053040908,19.4
12053040909,18.5
12053040910,21.0
12053040911,21.0
12053041003,21.4
12053041004,20.1
12053041005,19.8
12053041006,20.7
12053041103,20.3
12053041104,20.0
12053041105,20.0
12053041106,19.6
12053041201,20.0
12053041203,18.9
12053041204,21.9
12053041302,20.7
12053041303,14.1
12053041304,13.8
12053041305,14.3
12053041401,21.8
12053041402,19.6
12053041501,19.6
12053041502,18.5
12053041600,18.1
12055960101,18.4
12055960102,18.4
12055960103,19.6
12055960200,21.3
12055960300,21.8
12055960400,19.4
12055960501,18.3
12055960502,17.0
12055960601,19.2
12055960602,18.1
12055960700,18.7
12055960800,21.1
12055960900,19.5
12055961000,20.0
12055961100,20.2
12055961200,21.9
12055961301,18.9
12055961302,18.5
12055961400,18.4
12055961500,19.6
12055961601,19.4
12055961602,20.4
12055961603,19.8
12055961700,18.6
12057000101,21.4
12057000102,19.4
12057000201,19.1
12057000202,19.0
12057000300,18.9
12057000401,18.5
12057000402,19.2
12057000500,18.7
12057000601,18.0
12057000602,19.6
12057000700,20.2
12057000800,19.0
12057000901,19.7
12057000902,17.4
12057001001,19.4
12057001002,16.6
12057001100,18.7
12057001200,18.8
12057001300,18.1
