GEOID,name,acs_year,population_total,population_adult,adult_fraction
13171,Lamar,2023,19098,14964,0.78353754
13173,Lanier,2023,10094,7794,0.77214187
13177,Lee,2023,33337,24710,0.74121847
13179,Liberty,2023,66826,48332,0.72325143
13181,Lincoln,2023,7773,6297,0.81011193
13183,Long,2023,17512,12655,0.72264733
13185,Lowndes,2023,119055,89773,0.75404645
13189,McDuffie,2023,21687,16263,0.74989625
13191,McIntosh,2023,11187,9489,0.84821668
13195,Madison,2023,30914,23690,0.76631947
13197,Marion,2023,7474,5957,0.79702970
13199,Meriwether,2023,20757,16274,0.78402467
13207,Monroe,2023,28919,22852,0.79020713
13211,Morgan,2023,20614,16005,0.77641409
13213,Murray,2023,40282,30663,0.76120848
13215,Muscogee,2023,204383,153256,0.74984710
13217,Newton,2023,115530,85961,0.74405782
13219,Oconee,2023,42788,31575,0.73794054
13221,Oglethorpe,2023,15221,11935,0.78411405
13223,Paulding,2023,174292,129492,0.74296009
13225,Peach,2023,28269,22250,0.78708126
13227,Pickens,2023,34197,27693,0.80980788
13231,Pike,2023,19540,14945,0.76484135
13245,Richmond,2023,206040,158585,0.76968064
13247,Rockdale,2023,94293,71713,0.76053366
13255,Spalding,2023,68215,52259,0.76609250
13259,Stewart,2023,4978,4387,0.88127762
13263,Talbot,2023,5753,4814,0.83678081
13273,Terrell,2023,8941,6905,0.77228498
13289,Twiggs,2023,7869,6375,0.81014106
13295,Walker,2023,68449,53801,0.78600126
13297,Walton,2023,100361,76105,0.75831249
13313,Whitfield,2023,103118,77067,0.74736709
13321,Worth,2023,20575,15990,0.77715674
16001,Ada,2023,508052,393981,0.77547377
16005,Bannock,2023,88457,65948,0.74553738
16015,Boise,2023,8045,6809,0.84636420
16019,Bonneville,2023,127056,88696,0.69808588
16023,Butte,2023,2654,1949,0.73436323
16027,Canyon,2023,242405,176576,0.72843382
16041,Franklin,2023,14715,10162,0.69058784
16045,Gem,2023,19854,15414,0.77636748
16051,Jefferson,2023,32234,21642,0.67140287
16053,Jerome,2023,24788,17354,0.70009682
16055,Kootenai,2023,177736,137633,0.77436760
16069,Nez Perce,2023,42477,33384,0.78593121
16073,Owyhee,2023,12284,9216,0.75024422
16077,Power,2023,8018,5583,0.69630831
16083,Twin Falls,2023,92121,67514,0.73288392
17003,Alexander,2023,5042,3950,0.78341928
17005,Bond,2023,16627,13598,0.81782643
17007,Boone,2023,53316,40430,0.75830895
17013,Calhoun,2023,4406,3509,0.79641398
17019,Champaign,2023,206098,166368,0.80722763
17027,Clinton,2023,36899,28933,0.78411339
17031,Cook,2023,5185812,4074847,0.78576836
17037,DeKalb,2023,100512,78606,0.78205587
17043,DuPage,2023,927263,719689,0.77614334
17057,Fulton,2023,33259,26693,0.80257975
